label,face,image,item-count,item-key
1 Rider,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/e510b22e-457f-4f93-8ec2-37ca42f561f6.png?alt=media&token=b97569ec-6a11-4d87-a717-c31da356852a,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/lenormand/1%20rider.png,1,type-ea8c3c7b-983c-456b-ab04-e1ca50c3ee7c
2 Clover,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/b3f2f88a-0a95-4422-b2a0-acd2e21b307e.png?alt=media&token=d4bf1d24-3a5b-4e3d-82f2-711df9b29632,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/lenormand/2%20clover.png,1,type-9a636721-305e-47df-a3ce-761cf56c9cd8
3 Ship,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/59044aa9-57d9-40bf-b14e-f480d61b7b5a.png?alt=media&token=35ddfa4a-0412-4a4c-b0cd-564eac3c5ca0,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/lenormand/3%20ship.png,1,type-2c4d8fa7-8cfc-47e5-906d-65d5c70f4b93
4 House,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/2f5390ec-e3f7-4171-a52c-8ee1f1201bdf.png?alt=media&token=db8fa643-de83-4157-ba74-07b5a645e17c,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/lenormand/4%20house.png,1,type-d98cd757-e7b3-4ce2-b54d-0f0460908c2e
5 Tree,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/b18eec0d-f342-4b5f-98f5-89fd9d52b40c.png?alt=media&token=1ccf8cb3-0a74-4d1d-8a82-1e9f111494d1,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/lenormand/5%20tree.png,1,type-c244a841-5b30-43fa-99a8-af66900d9496
6 Clouds,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/e2acdac9-1472-4ceb-a97a-26ad454746b0.png?alt=media&token=373c14db-c9e3-487a-b148-d87db914df0c,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/lenormand/6%20clouds.png,1,type-c53e6c32-50e1-41d2-ade6-cad9ec6e5710
7 Snake,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/6b0f55ad-418f-454b-b1ca-fa27df6d1afc.png?alt=media&token=2b0205a1-621f-4591-a8c0-bb413e3a2de0,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/lenormand/7%20snake.png,1,type-4fd5864f-d99d-4011-830a-380322d1e165
8 Coffin,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/50a390f8-1081-4413-b844-bb1235119479.png?alt=media&token=c6a0e053-692a-49b9-9124-fb06902a3403,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/lenormand/8%20coffin.png,0,type-33b54f62-fae0-4e0b-815e-52118fc93416
9 Bouquet,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/7b7f1f2e-2992-4c7b-ac9c-eba48e7a2778.png?alt=media&token=a1990f9b-9d6e-4f3f-864f-4d011e945de2,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/lenormand/9%20bouquet.png,1,type-f5c47851-108d-4aac-919d-d195e28d60d2
10 Scythe,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/05aafab1-38ac-43c9-807e-00c56a81bf6a.png?alt=media&token=f59b4879-6213-4a08-9d49-4e91fefdf9ed,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/lenormand/10%20scythe.png,1,type-b4d6d83f-1118-49a2-8d46-369a2b3a2ace
