label,face,image,item-count,item-key
Acorns,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/26728770-35a8-4746-b4a5-436c42268eb5.png?alt=media&token=a92a81ae-7ac6-4598-b93f-10e00390d6a2,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/oracle/acorns.png,1,type-f79a9f3a-0132-4367-8492-f79a538f3c1b
Box,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/fca46ed7-4965-4e28-be29-d957f4a62a64.png?alt=media&token=4538d0ba-d132-4137-ad59-7c99e89077c3,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/oracle/box.png,1,type-d91537d6-1abf-479e-9939-bcf76ff8a8e5
Broken Glass,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/4c32202b-350a-4ad1-9689-13df12f8e62f.png?alt=media&token=d8d057f4-2295-4cc5-8dcd-de971fde0ec0,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/oracle/broken%20glass.png,1,type-55081352-8dcc-46e2-816d-220ee54108b4
Candles,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/ff86b462-b37f-4aba-a37d-0ea02b9aa1d0.png?alt=media&token=ca9917e4-f67e-4a69-bd4a-1c40d63cbe35,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/oracle/candles.png,1,type-320a6b88-d8dd-46b7-b7ae-18aff1f4bd70
Cat,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08abe197-14a5-461e-a9f9-d8a5d694b030.png?alt=media&token=0eaccd6b-a355-4501-864e-24cd44b7ba6f,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/oracle/cat.png,1,type-df30b650-11e9-4b89-be82-efd441d0814e
Chair,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/8d054b2f-8729-46c4-b98a-fbedeac2bcd3.png?alt=media&token=50ada23d-1a28-46ec-8e8d-e63994d7263a,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/oracle/chair.png,1,type-5b819099-231d-488e-b73c-6a34cc2165d5
Chimes,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/891653ca-8e9f-4786-9eb5-057689470513.png?alt=media&token=ab177ace-3706-4e81-ba22-73faf4d0606b,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/oracle/chimes.png,1,type-c42e72f9-eb71-4954-a0d0-0454bb7e72a9
Crystal Ball,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/891cca8c-8365-45d2-b146-d66ef95c65a1.png?alt=media&token=fd77eb9f-3f36-47e0-9022-5b147761378a,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/oracle/crystal%20ball.png,1,type-d247c936-7c84-4d59-b37d-85d054ffa4b8
Cuckoo Clock,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/1fcae384-1ca5-4dda-ad38-e7f00c05b2ae.png?alt=media&token=292e4d34-a386-489d-884b-e48a61229610,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/oracle/cuckoo%20clock.png,1,type-683df523-eacd-4447-8a8f-20c7c5659cdc
Demons,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/f07093f3-f3f2-4328-b038-f8602a15b9b5.png?alt=media&token=5602f42e-04c3-47ac-ba7b-b0cb3b56918d,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/oracle/demons.png,1,type-7164ea52-a7c8-4d96-aab7-90b5df4fb632
