label,face,image,item-count,item-key
Ac,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/d4cd6577-4e1a-4092-93d3-ce3c7f99f5e7.png?alt=media&token=9208dce5-47a1-4e8d-a508-3e982dfac6a0,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/ac.png,1,type-c589494c-9f70-4e69-b835-e74460ba9e43
Ansuz,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/15214c83-83a7-4e4e-9bb0-a0638d5e9ec2.png?alt=media&token=b80b3dc4-d34a-4fe9-aed9-f791c0dc986d,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/ansuz.png,1,type-b8a0f537-db0d-46f1-887f-8dfc0be5ff8c
Berkana,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/039bab41-ca8a-4ffb-a25d-0c31ec32e8b4.png?alt=media&token=d1d97a0a-effa-478d-b3a5-f6b93d545e9d,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/berkana.png,1,type-06b720db-8fb8-43f1-b872-b3bad8eb10e3
Chalc,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/80c7243f-ee04-4b93-9eaa-38c8557b4b01.png?alt=media&token=6dabe066-3b9f-4ee8-a1f9-e3cab19d944f,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/chalc.png,1,type-87f911cf-6523-43a6-8fb1-a22b646ce558
Cweorth,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/411463c8-8810-4649-8d03-37bc8f49e41c.png?alt=media&token=6e472b49-65cd-4d87-b964-b1dc131c6fdc,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/cweorth.png,1,type-fe77e061-51f5-42a2-9ba2-99b79dfcbf2b
Dagaz,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/1a7e2c33-af12-41aa-a01a-c787543b15e5.png?alt=media&token=f93257a5-dfee-40c1-b0ec-c097bcee0135,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/dagaz.png,1,type-7d650b71-6d7b-4873-a3f7-15746ecc8631
Ear,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/ceb70a7d-3f3c-4785-acc5-222639f41ddb.png?alt=media&token=c64c9632-48fb-495a-98ae-c02acf121272,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/ear.png,1,type-f4ef0f14-574a-4f27-a6d5-707d3a543c5c
Ehwaz,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/0b213a46-7834-4d1e-80f9-bf9eb25b8e3b.png?alt=media&token=9ab44513-5c3d-49d0-bec6-b0339afa21e5,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/ehwaz.png,1,type-bcde3061-9f5e-44ef-95a4-05e7a7dc2fdc
Eihwaz,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/df958415-09b9-4ebf-91c8-2063ca98f83c.png?alt=media&token=4269d451-ffc1-4ad9-8b08-1a82b0d59c5b,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/eihwaz.png,0,type-48a2726e-bc84-454f-a019-2648e8afd1af
Elhaz,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/8abba29f-668a-432e-9236-5617613e14dd.png?alt=media&token=0962d92c-18ba-4525-8447-8b79c487c891,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/elhaz.png,1,type-91616974-0dac-4aeb-9745-eac1fd8cfa8b
Fehu,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/41575cae-efb8-4658-89bd-d075e083b55a.png?alt=media&token=217f1065-e984-4831-9601-bac08f877ca3,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/fehu.png,1,type-1b154160-a940-4e90-bad1-84a323a6b07a
Gar,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/c8011ce9-67c8-4929-9fb9-2e81db72b8c4.png?alt=media&token=741f5959-5f95-49ca-825a-16f206cfca57,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/gar.png,0,type-e4d81065-869c-4d11-bf14-f32aa326ca74
Gebo,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/2f772f6f-c13c-49da-955f-9a6e6bfa38d8.png?alt=media&token=e6371aa3-ece5-4f7a-92af-ff53b9dcf692,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/gebo.png,1,type-55f087a4-c4c9-488c-827a-a8fa1c9f88a0
Hagalaz,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/66e356ad-81b3-4419-9b7b-3a3297806de7.png?alt=media&token=5f0baa03-d937-4c7d-91df-443e31aee099,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/hagalaz.png,1,type-2067e2a0-b0e6-48ae-96ee-65cc632cac2f
Ingwaz,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/a04fb17a-26cc-4120-8b64-feacbf814cc6.png?alt=media&token=67bc06e9-2e3a-495f-afc7-b836c21219ed,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/ingwaz.png,1,type-1f2293e9-9feb-4e07-a306-ee0c81ef16f1
Ior,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/991346ea-d20d-4fea-8b10-be2f6a5b3961.png?alt=media&token=945cf6ed-8573-4bf7-9631-91c895d8bff5,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/ior.png,0,type-de966f2c-3fb7-4c79-8fad-11fd9a8f4893
Isa,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/0bde0889-836a-46f0-ae71-5f6fa41ea326.png?alt=media&token=c3bb0676-b13c-4914-a48a-b9891ce8c2ae,https://raw.githubusercontent.com/nolikoff/cards/refs/heads/main/green%20glyphs/runes/isa.png,1,type-f601067d-98b4-4ec5-93ec-2b9306d12847
